job_title,matched_standard_role
city council,Political Staff
City Councillor,Political Staff
"Obihiro Plant, Sales Promotion Section, Deputy Manager",Business Development Manager
managing director,Managing Director
Managing Director and General Manager of Sales Promotion Division,Business Development Manager
"Managing Director, General Manager",Information Technology Manager
Managing director,Managing Director
Managing Director TCR,Managing Director
"Managing Director, Head of Corporate Services (Systems & Administration)",Managing Director
"Managing Director, General Manager of Digital & CRM Promotion Office",Managing Director
"Managing Director, General Manager of Field Service Division",Managing Director
"Managing Director, General Manager, Business Strategy Division",Managing Director
Managing Director & General Manager of Finance Division,Finance Manager
"Managing Director, General Manager of Sales Division",Sales Manager
"Managing Director, Executive Officer",Executive
"Managing Director, Plant Manager",Manufacturing Operations Manager
"Managing Director, General Manager",Information Technology Manager
"Managing Director, General Manager",Information Technology Manager
Managing Executive Officer,Executive
"Managing Executive Officer, CIO",Chief Information Officer
Executive Officer: General Manager of ICT Promotion Headquarters,Executive
"Executive Officer, General Manager of SI Business Division",Executive
Executive Officer: General Manager of SSS Business Administration,Executive
"Managing Executive Officer, General Manager of Commercial Success Division",Executive
"Managing Executive Officer, General Manager of System Department",Executive
"Managing Executive Officer, General Manager, Social Impact Partnerships Division",Executive
"Managing Executive Officer, Chief Information Officer, Chief Digital Officer",Chief Information Officer
"Managing Executive Officer, General Manager of Digital Innovation Division",Innovation Manager
"Managing Executive Officer, General Manager of Partner Ecosystem Business Unit",Executive
Managing Executive Officer & General Manager of Enterprise SE Department,Executive
"Managing Executive Officer, Deputy General Manager, General Manager of ICT Service Division, and General Manager of Digital Business Promotion Office",Digital Manager
"Managing Executive Officer, Head of Engineering Division",Technology Manager
Permanent Executive Officer: The person with the highest technical responsibility,Chief Technology Officer
"Managing Executive Officer, General Manager",Executive
"Managing Executive Officer, General Manager, Deputy General Manager, General Manager",Executive
"Managing Executive Officer, General Manager, Distribution & Media Systems Business Unit",Media Executive
"Managing Executive Officer, General Manager of Industrial Solutions Division",Executive
Managing Officer,Managing Director
Executive Director,Executive Director
"Managing Director, General Manager of Osaka Office",Executive Director
Full-time Lecturer,Lecturer
Digital Promoting,Digital Media Specialist
"Kuniyoshi Hirai, Sales Promotion Department, Section Manager, Clerical Staff",Sales Manager
"Yoshitaka Hiraoka, Asakusa Branch, GL, Clerical Staff",Administrative Employee
Rank-and-file EAM,Administrative Employee
"Shogo Hirano, Fukuoka East Branch, Deputy Branch Manager, Sales Position",Sales Manager
Pension Consultant,Consultant
executive secretary,Assistant
Secretary-General,Information Technology Manager
cadre,Executive
Kindergarten Teacher,School Teacher
advertisement,Advertising Specialist
Advertising Agencies,Advertising Specialist
public relations,Public Relations Specialist
Public Relations TCR,Public Relations Specialist
Public Relations Manager,Public Relations Manager
Public Relations Officer,Public Relations Specialist
Public Relations Senior Associate,Public Relations Specialist
Public Relations Department,Public Relations Specialist
Public Relations Department SE,Public Relations Specialist
"Hiroshima Office, in charge of in-house systems",Property Manager
shopkeeper,Small Business Owner
clerk,Retail Salesperson
Store Manager,Retail Salesperson
Head of store operations TCR,Retail Salesperson
manager,Retail Manager
without,Unemployed
General Affairs Clerk,Administrative Employee
architecture,Architect
architect,Architect
Architectural Engineer,Architect
Architectural design,Architect
construction,Construction Engineer
Construction Consultant,Construction Engineer
Construction,Construction Engineer
"Yosuke Tatebe, Tono Branch, GL Sales Position",Sales Employee
patent attorney,Legal Practitioner
弁理士 AUTHENSE弁理士法人,Legal Practitioner
Patent Attorney TCR,Legal Practitioner
attorney,Lawyer
Director and CTO of the Company,Chief Technology Officer
officer,Director of Business Development
Executive TCR,Director of Business Development
"Officers, Directors, Managing Executive Officers",Director of Business Development
Executive/VP,Director of Business Development
Officers',Director of Business Development
Officer Classes,Director of Business Development
Executives,Executive
No Title: TCR,Unemployed
No Title: TCR,Unemployed
employee,Information Technology Generalist
Information System,Information Technology Generalist
Information System Member,Information Technology Generalist
Information Systems / Quality Control Office,Quality Assurance Engineer
Information Systems Officer,Information Technology Generalist
TCR in charge of information systems,Information Technology Generalist
information,Information Technology Generalist
Information & Systems,Information Technology Generalist
Information & Communications,Information Technology Generalist
"ICT Center, Information Innovation Division",Information Technology Generalist
"Information Security Promotion Department, ICT Quality Assurance & Information Security Division, Information Innovation Division, Section Manager / Chief Class",Information Technology Generalist
Information Innovation Division Manager,Innovation Manager
Information Engineer,Information Technology Engineer
Information Systems,Information Technology Generalist
Information System TCR,Information Technology Generalist
Information System TCR,Information Technology Generalist
Information Systems Systems Office,Information Technology Generalist
Information Systems Others,Information Technology Generalist
Information Systems Manager TCR,Information Technology Manager
Information Systems General Employees,Information Technology Generalist
Information System Chief/Assistant Manager Class,Information Technology Manager
Information System Planning,Information Technology Generalist
Information Systems & Libraries,Information Technology Generalist
Information Systems Contractor,Information Technology Generalist
Information Systems Officer Class,Director of Information Technology
Information Systems Division Manager Class,Information Technology Manager
Information Systems Temporary Employees,Information Technology Generalist
Information Systems Executives,Information Technology Manager
Information Systems Section Manager Class,Information Manager
Head of Information Systems,Information Technology Generalist
Information Systems General Manager Class,Information Technology Manager
Information Systems/Quality Control/Security,Information Technology Generalist
Director of Information Systems,Director of Information Technology
Information Systems Group,Information Technology Generalist
"IT Infrastructure Team, Information Systems Group",Infrastructure Engineer
"Person in charge, Information Systems Group",Information Technology Generalist
Head of Information Systems Group,Information Technology Manager
Information Systems Coordinator,Information Technology Generalist
In charge of information systems,Information Technology Generalist
Information Systems Service Leader,Information Technology Manager
Information Systems Manager,Information Technology Manager
"Deputy General Manager, In-house DX Promotion Office, Information Systems Business Division",Information Technology Manager
Information Systems Planning Group TCR,Information Technology Generalist
Information Systems Section,Information Technology Generalist
Information Systems Section Manager,Information Technology Manager
Information Systems Office,Information Technology Generalist
"Group Leader, Information Systems Office",Information Technology Manager
Information Systems Office: None,Information Technology Generalist
"Deputy Team Leader, Information Systems Office",Information Technology Manager
"General Manager, Information Systems Office",Information Technology Manager
"General Manager, Information Systems Office TCR",Information Technology Manager
"Deputy Director, Information Systems Office",Information Technology Manager
"General Manager, Information Systems Office",Information Technology Manager
Information Systems Strategy Dept.,Information Technology Administrator
Information Systems,Information Technology Generalist
TCR in charge of information systems,Information Technology Generalist
Information Systems Manager,Information Technology Manager
Information Systems Officer,Information Technology Generalist
Information Systems Officer TCR,Information Technology Generalist
Information System Reform G GL,Information Technology Generalist
"Leader, Information System Reform Office",Information Technology Generalist
Information Systems Division,Information Technology Generalist
"Information Systems Division, IT Security Group, Security Team, General Employees and Staff",Information Technology Security Specialist
"IT Development, Information Systems Division",Technology Development Engineer
"Information Systems Division, Solution Management Department, Quality Control Section",Quality Assurance Engineer
"General Manager, Information Systems Division",Information Technology Manager
"Deputy General Manager, Development Department, Information Systems Division",Development Manager
Information Systems Administrator,Information Technology System Administrator
"Information Systems Management Department, MC",Information Technology Generalist
"Manager, Information Systems Management Department",Information Technology Manager
"Information Systems Management Department, General Employees and Staff",Information Technology Administrator
Information Systems Division,Information Technology Generalist
Information Systems Division TCR,Information Technology Generalist
"Manager, Information Systems Division",Information Technology Manager
"Information Systems Division, General",Information Technology Generalist
"Information Systems Section, General Employees",Information Technology Generalist
"Information Systems Section, Section Chief, Chief Class",Information Technology Manager
Information Systems Division Engineer,Information Technology Generalist
"Information Systems Division, Group 1 Group Manager",Information Technology Manager
"Information Systems Division, Section Manager",Information Technology Manager
"Information Systems Division, Section Manager",Information Technology Manager
"Information Systems Section, Manager TCR",Information Technology Manager
"Information Systems Section, Manager TCR",Information Technology Manager
"Information Systems Section, Section Manager Class",Information Technology Manager
"Information Systems Division, Principal",System Administrator
Information Systems Division Manager,Information Technology Manager
Head of Information Systems,Technology Manager
Information Systems Dept.,Information Technology Generalist
"TCR, Information Systems Dept.",Information Technology Generalist
"TCR, Information Systems Dept.",Information Technology Generalist
"Group Manager, Infrastructure Planning Group, Information Systems Department",Infrastructure Manager
"Cloud Solutions Group Leader, Information Systems Department",Information Technology Manager
"Corporate IT Team, Information Systems Department",Information Technology Generalist
"Information Systems Department, Server Management",Information Technology Administrator
"Information Systems Department, Systems Group",Information Technology Generalist
"System Planning Group, Information Systems Department",Information Technology Generalist
"Counselor, Information Systems Department,",Information Manager
"Information Systems Department, System Development Section 1",Information Technology Generalist
"Senior Manager, Information Systems Department",Information Technology Manager
"Smart Office Promotion Section, Information Systems Department",Information Technology Generalist
"Information Systems Department, Others",Information Technology Generalist
"Information Systems Department, Other Officers",Information Technology Executive
"Manager, Information Systems Department",Information Technology Manager
"Information Systems Department, General Employees and Staff",Information Technology Generalist
"Chief, Information Systems Department",System Administrator
Chief of the Information Systems Department,Information Technology Manager
"Information Systems Department, Section Chief, Chief Class",Information Technology Manager
"Deputy General Manager, Information Systems Department",Information Technology Manager
"Counselor, Information Systems Department",Information Manager
"Information Systems Department, Information Technology Department, System Technology Group",Information Technology Generalist
"General Manager, Technology Development Department",Information Technology Manager
Technology Development Department/Full-time General Manager,Information Technology Manager
"General Manager, EGM Group, ADM Technology Department, System Technology Division, Technology Innovation Division",Innovation Manager
"Technological Innovation Division, Section Manager",Innovation Manager
Investment Analyst,Investment Banking Analyst
investor,Corporate Board Member
Investment Associate,Finance Specialist
Investment Banking,Investment Banking Analyst
Contact Person - TCR,Information Technology Manager
Assigned to TCR,Information Technology Manager
Responsible/-,Information Technology Manager
TCR in Charge,Information Technology Manager
TCR in Charge,Information Technology Manager
Manager in Charge,Information Technology Manager
Person in charge: Managing Executive Officer,Executive
STAFF,Information Technology Manager
"Person in charge: Social & Environmental Solutions Business Division, Support Service Operations Division, Account Operation Support Department, Kumagai Section",Service Support Specialist
_TCR in charge,Information Technology Manager
_TCR in charge,Information Technology Manager
TCR in charge,Information Technology Manager
Manager in charge,Information Technology Manager
Section Chief,Information Technology Manager
Deputy General Manager,Information Technology Manager
Staff in Charge,Information Technology Manager
"Deputy Director-General, Chief Producer",Director of Information Technology
General Manager,Information Technology Manager
Deputy General Manager,Director General
person in charge,Information Technology Manager
Contact Person: TCR,Information Technology Manager
Contact Person: TCR,Information Technology Manager
"Person in charge: IT Service Department, Process Transformation Promotion Team",Process Specialist
Position in Charge,Information Technology Manager
Manager in charge,Information Technology Manager
Manager TCR,Information Technology Manager
"Manager, Technology & Operations Development Division",Information Technology Manager
Deputy Manager in Charge,Information Technology Manager
Staff in charge,Information Technology Manager
General Manager,Information Technology Manager
General Manager Group Manager,Information Technology Manager
General Manager & Section 2 Manager,Information Technology Manager
"General Manager in Charge, Deputy Counselor",Information Technology Manager
General Manager of Sales Section,Sales Manager
General Manager of the First Sales Section,Sales Manager
General Manager of Group 2,Information Technology Manager
Supervisor,Director of Education
Supervisor TCR,Director of Education
instructor,Corporate Trainer
leader,Corporate Trainer
conductor,Musician
choreographer,Performer
Recruiter,Recruiter
Recruiter,Recruiter
Head of Recruitment,Recruiter
Promoter,Business Development Specialist
Chief of Promotion,Business Development Specialist
"General Manager, Mobile Speed Systems Department",Information Technology Manager
Branch Manager,Information Technology Manager
Deputy Branch Manager,Information Technology Manager
"Support Office, General Manager Class",Service Support Manager
"General Manager, Business Promotion Department, Branch Office",Business Development Manager
Branch President,Information Technology Manager
Branch Leader,Information Technology Manager
manager,Information Technology Manager
"Manager, Director",Information Technology Manager
school affairs,Education Professional
Academic Affairs and High School-University Collaboration,Education Professional
Academic Affairs Division,Education Professional
Ministry of Education,Education Professional
Director of Academic Affairs,Education Manager
teaching staff,School Teacher
Faculty - Lecturer,School Teacher
Faculty TCR,School Teacher
teacher,Teacher
professor,Professor
"Professor, Director, Cyber Security Center, Ph.D. (Engineering)",Cyber Security Manager
Faculty,University Professor
educate,Education Professional
Education and research,Education Professional
Promotion of educational ICT business,Education Professional
Educational Consultant,Education Professional
"Education Office, Supervisor",Education Administrator
Education Business Manager,Education Manager
School Board,Education Professional
"Board of Education, ICT Section Chief",Education Manager
Educational Instructor,Education Professional
educational institution,Education Professional
Educational Studies,Education Professional
Education & General Affairs Division,Education Professional
Educators,School Teacher
Education Department,Education Professional
Superintendent,Education Manager
teacher,School Teacher
"Teacher, Academic Affairs & ICT",Education Professional
Teacher/Artist,School Teacher
Mechanic,Mechanic and Maintenance Tradesperson
plastic surgery,Medical Practitioner
cook,Food Service Professional
Head Chef,Food Service Professional
"Ken Arai, Joetsu Sales Office GL Clerical Staff",Administrative Employee
Mikako Nitta Hachinohe Branch - Clerical Staff,Administrative Employee
New Business Development,Business Development Specialist
Director of New Business Development,Director of Business Development
New Business Development Manager,Business Development Manager
Director of New Business,Director of Business Development
New Business Promotion SEC Manager,Business Development Manager
Head of New Business,Business Owner
New Business Division,Business Development Specialist
New Business Development,Business Development Specialist
New Business Development Manager,Business Development Manager
New Business Development (PPA) Manager,Business Development Manager
New Business Development/R&D,Research Development Researcher
New Business Development Manager,Business Development Manager
Facility Management,Facilities Manager
Director of the Facility,Facilities Manager
Japanese Teacher,School Teacher
Hoshi Kento Shikoku Mass Sales Branch - Clerical Staff,Administrative Employee
film,Production Crew
film director,Digital Art Director
"General Manager, Daytime Department",Education Manager
clerk,Assistant
secretary,Assistant
"Chief Digital Officer, General Manager of DX Promotion Office",Digital Manager
Chief Operating Officer,Chief Operations Officer
Chief Information Officer,Chief Information Officer
Chief Strategy Officer,Chief Executive Officer
Chief Technology Officer,Chief Technology Officer
CEO,Chief Executive Officer
Chief Administrative Officer,Administration Manager
Chief Product Officer,Chief Product Officer
Chief Executive Officer,Chief Operations Officer
Head Office Representative Director,Chief Executive Officer
"Chairman, President, CEO",Chief Executive Officer
"Business Promotion Department, Information Systems Center, Head Office",Information Technology Generalist
"Corporate Planning Office, Head Office",Business Planner
"Head Office Information Systems Division, General Employees and Staff",Information Technology Generalist
General Manager,Information Technology Manager
"General Manager, DRM Consultant, Senior Architect",Architecture Manager
General Manager TCR,Information Technology Manager
General Manager General Manager,Information Technology Manager
General Manager / Digital Strategy Division,Digital Manager
General Manager/Division Manager,Information Technology Manager
General Manager/Officer/Management Class,Information Technology Manager
General Manager Class,Information Technology Manager
With General Manager,Assistant
Deputy General Manager,Information Technology Manager
Assistant General Manager,Information Technology Manager
Sapporo Solution Development Department 2 Principal,Information Technology Generalist
Sapporo Branch Deputy General Manager,Director of Information Technology
Materials Engineer,Construction Engineer
"Tokyo Head Office, Sales Division, Sales Promotion Department",Sales Employee
"Tohoku Business Headquarters, Tohoku Block, Aomori Branch Manager and Nogi Office Manager",Information Technology Manager
EAST Japan BUSINESS HEADQUARTERS SECURITY & MANAGED DIVISION,Information Technology Security Specialist
Toshiba IT Service Corporation,Information Technology Generalist
"Takahiko Togo, Kokura Branch, Chief, Sales Position",Sales Supervisor
"Noboru Matsuda, Sakata Branch, GL, Clerical Staff",Administrative Employee
nutritionist,Dietitian
shareholder,Partner
Equity Research Analyst,Equity Research Analyst
KMS CTO Inc.,Chief Technology Officer
ISFNET Corporation,Information Technology Generalist
"EXESTAR Co., Ltd. (Heiankaku Co., Ltd.) Information Systems Division",System Administrator
Happinet Inc. Information System Office,System Administrator
"Keihan Business Management Co., Ltd. IT Division",Information Technology Generalist
"Kazuya Kajiyama, Utsunomiya West Branch, Deputy Branch Manager, Sales Position",Sales Manager
inspection,Research Employee
Inspector,Research Employee
"Inspection Department, Section Manager Class",Market Research Manager
Search Engine Optimization Consultant,Technology Consultant
General Manager of Operations 2,Information Technology Manager
Business assistant,Assistant
"Business Service Division, Others",Service Support Specialist
Business Systems Engineer TCR,Engineer
Project manager for business system construction,Project Manager
"General Manager, Business Systems Department",Information Technology Manager
Executive Employees,Executive
Business Officer,Office Worker
Person in charge of operations,Office Worker
Business Promotion,Business Development Specialist
"General Manager, Business Promotion Office",Business Development Manager
"General Manager, Business Promotion Department 3",Business Development Manager
Business Promotion Department: None,Business Development Specialist
Business Support,Support Specialist
Operational Reform,Business Development Specialist
"Business Reform & IT Strategy Headquarters, IT Development Department, AFR Group",Information Technology Generalist
"Leader, Business Reform Promotion Office",Business Development Specialist
"Information Systems Group, Business Reform Promotion Department",Information Technology Generalist
Business Management,Administrative Employee
"General Manager, Business Management Department",Administration Manager
Business Division,Operations Staff
Operations Manager,Operations Manager
Business Department: General Employees and Staff,Operations Staff
Business Department Manager,Operations Manager
"Business Department, General Manager Class",Operations Manager
"Manager, Risk & Security Management Office, Operations Department",Risk Management Specialist
General Manager of Operations,Operations Manager
Business Departments,Operations Staff
"Manager, Business Innovation Center",Innovation Manager
"Industry: Head of SI Division, Executive Officer",Executive
Performance Management,Administrative Employee
Structural Design Group,Computer Aided Design Manager
Bridge Architect TCR,Architect
Mechanical Engineer,Engineer
Machine Operator,Technician
Machine Learning Engineer,Machine Learning Engineer
Mechanical Design Engineer,Engineer
"Development Management Group, Development Management Department, Functional Materials Division",Business Development Specialist
"Deputy General Manager, Functional Resins Division",Information Technology Manager
"General Manager, Solution Development Office, System Engineering Department, Metering Division, Mechanical and Electrical Division,",Engineering Manager
"General Manager, Next Generation Business Planning Office",Planning Manager
Marketing / Sales,Sales Employee
"Deputy General Manager, General Manager of DX Promotion Department",Digital Director
"DEPUTY DIRECTOR, IOT CONSULTANT",Director of Information Technology
Deputy General Manager Group Leader,Information Technology Manager
"Deputy General Manager, System Manager",Information Technology Manager
Deputy General Manager & Senior Expert (IT Architect),Information Technology Manager
Deputy General Manager and General Manager of Technology Development Promotion Office,Information Technology Manager
Deputy General Manager and Section Manager,Director of Information Technology
Deputy General Manager & Leader,Information Technology Manager
"Deputy Director, Examination Manager, Section Manager",Information Technology Manager
In-house IT,Information Technology Manager
In-house SE,Software Engineer
In-house SE,Software Engineer
In-house SE TCR,Software Engineer
In-house infrastructure operation and management,Information Technology Administrator
In-house engineers,Engineer
In-house consultants,Consultant
In-house support,Information Technology Support Specialist
In-house Systems Engineer,Engineer
TCR in charge of managing internal systems,System Administrator
In-house system maintenance,System Administrator
In charge of internal systems,System Administrator
In-house system management,System Administrator
In charge of ID/DX promotion within the company,Information Technology Manager
In-house information system,Information Technology Generalist
General employees and contract employees,Contract Worker
Employee TCR,Office Worker
Employee Engineer,Engineer
"Employee, Principal Manager",Information Technology Manager
Employee Professor,Professor
Employees Employees,Office Worker
president,President
President/Representative Director,Chief Executive Officer
President & Officer,President
Assistant to the President,Executive Assistant
"President's Staff, IT Promotion, Leader, Manager",Information Technology Manager
President's Office,President
"General Manager, President's Office",Information Technology Manager
"President's Office, General Manager",Information Technology Manager
President's Office DX Promotion,Information Technology Generalist
"Manager, Big Data, President's Office",Data Manager
"Executive Officer, President's Office",Executive
"President's Office, General Manager",Information Technology Manager
"President's Office, Deputy General Manager",Information Technology Manager
"President's Office, Management Systems Department, Management System Section 2",Information Technology Generalist
General Manager of the President's Office,Information Technology Manager
Assistant to the President,Assistant
"Manager, Fukui Development Department",Development Manager
"Fukui Development Department, Section Manager",Development Manager
"Fukuoka System Department, Service Business Section, Deputy Manager",Information Technology Manager
"Akira Fukuzawa, Narita Branch, Deputy Branch Manager, Sales Position",Sales Manager
"Akihabara Office, Managing Executive Officer, General Manager of Innovation Management Department",Innovation Manager
Dean,Information Technology Manager
secretary,Assistant
"Secretary's Office, General Affairs and Human Resources Department, Acting General Manager",Human Resources Manager
Secretary's Office Manager,Information Technology Manager
tax accountant,Tax Specialist
"Tomohiko Inari, Store Sales Department, Section 3, Chief, Sales Position",Sales Supervisor
air conditioning,Mechanic and Maintenance Tradesperson
"Air Conditioning Production Division, Development Planning GR Professional Associate",Business Planner
"2nd Innovation Promotion Department, General Staff",Information Technology Generalist
"Studio 3, Group 3, Production 8 / Studio 3, Group 3, Production 9, Technical Director",Director of Information Technology
3rd Development Division Manager,Development Manager
"Section Manager, Division 1",Information Technology Manager
First Sales Manager,Sales Manager
Section 1 and Section 3,Information Technology Manager
Solution Dept. 3 Section Chief/Chief Class,Information Technology Manager
"Second PF Software Division, GM",Software Engineer
"2nd PF Software Division, General Manager",Software Manager
Second Engineering Department & Information Systems,Information Technology Generalist
Section 2,Information Technology Manager
"Software Development, Electronic System Development Department, Vehicle Technology Development Division 2",Software Developer
"Section Manager, Development Department 2",Development Manager
5th Business Produce Bureau General Employees and Staff,Developer
"4th Business Solutions Department, General Employees and Staff",Consultant
Tsukuba Plant Leader,Manufacturing Manager
manage,Administrative Employee
Administrative office work,Administrative Employee
"Management Group, Information Systems Department, System Operation Section",Information Technology Administrator
Administrative Support,Administrative Employee
Management System Help Desk,Information Technology Support Specialist
Administrative Staff,Administrative Employee
Administrative Team Manager,Administration Manager
Administrative Manager,Administration Manager
Management Accounting,Accountant
Administrative Section Manager,Administration Manager
Management Technician,Information Technology Administrator
Administrative Headquarters,Administrative Employee
"ICT Systems Section, DX Promotion Department, Administration Division",Information Technology Administrator
Administrative Headquarters TCR,Administrative Employee
"Corporate Department, Administration Division",Administrative Employee
"Administrative Division, Other Officers",Administrative Employee
"Administrative Headquarters, Chief",Administrative Employee
"EXECUTIVE PRODUCER, Administration Division & System Development Division",Information Technology Manager
"Deputy General Manager, Administration Division",Administration Manager
"Deputy General Manager, Administration Division and General Manager, System & Equipment Management Office, TCR",Administration Manager
"Information Systems Office, Administration Headquarters, General Employees",Administrative Employee
"General Manager, Information Systems Department, Administration Division",Administration Manager
"Information Systems Department, Administrative Headquarters, Engineer",Information Technology Administrator
"Administration Headquarters, General Affairs Department, IT Charge",Information Technology Administrator
"Accounting Section, General Affairs Department, Administration Division",Accountant
"Administrative Headquarters, Section Manager Class",Administration Manager
"Accounting Group, Finance & Accounting Department, Administration Division",Accountant
Administration Headquarters/Systems Team,Administrative Employee
General Manager of Administration Division,Administration Manager
"Administrative Operations Unit, Administrative Operations Team, Team Leader",Administration Manager
"General Employees, General Staff, Corporate Planning Division, Public Relations Department, Management Supervisory Office",Administrative Employee
"Group Leader, Information Systems Group, Administration Department",Information Technology Administrator
intendant,Administrative Employee
Administrator TCR,Administrative Employee
Principal,Director General
Managerial TCR,Administrative Employee
Chief/Assistant Manager Class,Information Technology Administrator
Managerial positions (general manager and above),Information Technology Manager
Managers/Engineers,Information Technology Administrator
"Managerial positions""",Administrative Employee
Administrative Staff,Administrative Employee
Supervising Pharmacist,Pharmacist
Administration Section,Administrative Employee
Administrative Manager,Administration Manager
Person in charge of management,Administration Manager
Department of Management,Administrative Employee
"IT Staff, Administration Department",Information Technology Administrator
"Administration Department, System Staff, Section Manager Class",Information Technology Manager
"Deputy Manager, System Section, Administration Department",Information Technology Manager
"Administration Department, General Employees and Staff",Administrative Employee
"Manager, Administration Department",Administration Manager
"Information Systems Division, Administration Department",Information Technology Administrator
"Manager, Administrative Department",Administration Manager
"Administrative Department, General Manager Class",Administration Manager
Administrative Administrative Group Principal,Administration Manager
"Management Section, Administrative Department, In-house SE",Information Technology Administrator
Minister of Management,Administration Manager
Director of Administration,Administration Manager
General Manager TCR,Administration Manager
Administrative Department,Administrative Employee
Administrative Manager,Administration Manager
Head of Administration,Administration Manager
Hiroshi Yoneda Kyushu Mass Retailer Store Sales Section GL Sales Position,Sales Employee
Tatsuya Yoneda Yokohama Izumi Branch - Clerical Staff,Administrative Employee
"Motoki Awaya, Hokuriku Mass Retailer Section 1, Section Manager, Sales Position",Sales Manager
Embedded Engineer,Embedded Software Engineer
Organizational Development Consultant,Consultant
Leader,Information Technology Manager
Management TCR,Administrative Employee
"Management, Representative",Chief Executive Officer
"Management, Consultant",Consultant
Management/SE,Information Technology Administrator
Management/New Business Development/Marketing Advisory,Marketing Specialist
Management & Business Strategy Office Staff,Business Development Specialist
Management Consulting,Consultant
Management Consultant,Consultant
Management Consulting,Consultant
"Management Systems Division, General Employees and Staff",Administrative Employee
"Deputy General Manager, Management Systems Division",Administration Manager
"Manager, Infrastructure Services Group, Management Systems Division",Infrastructure Manager
Corporate Planning,Business Planner
Corporate Planning Others,Business Planner
"Corporate Planning, General Employees",Business Planner
Corporate Planning Chief/Assistant Manager Class,Planning Manager
"Corporate Planning, Contract Employee",Business Planner
Corporate Planning Officer Class,Planning Manager
Corporate Planning General Manager Class,Planning Manager
Corporate Planning Manager,Planning Manager
Corporate Planning Section Manager Class,Planning Manager
Corporate Planning General Manager Class,Planning Manager
Corporate Planning/Investor Relations/Fund Management,Finance Specialist
Corporate Planning Group,Business Planner
Corporate Development Manager,Business Development Manager
Corporate Planning Office,Business Planner
"Manager, CSIRT Department, Corporate Planning Office",Planning Manager
"Manager, Corporate Planning Office",Planning Manager
"General Manager, Corporate Planning Office",Planning Manager
"General Manager, Corporate Planning Office",Planning Manager
"Deputy General Manager, Corporate Planning Office",Planning Manager
"Assistant Manager, Information Systems Group, Corporate Planning Office",Information Technology Manager
"Deputy General Manager, Corporate Planning Department, Corporate Planning Office and Deputy General Manager, Corporate Planning Division",Planning Manager
Corporate Planning Office/Section Manager,Planning Manager
"General Manager, Corporate Planning Office",Planning Manager
"Corporate Planning Division, DX Promotion Department, Core IT Management Group",Information Technology Administrator
"Corporate Planning Division, IT Strategy Office, Cyber Security & Infrastructure Department, General Employees",Information Technology Generalist
"IT Promotion Group, Corporate Planning Division",Information Technology Generalist
"IT Promotion Division, IT Promotion Department, Corporate Planning Division",Information Technology Generalist
"Corporate Planning Division, Digital Transformation Promotion Department, Section Chief, Senior Class",Digital Manager
"Counselor, Information Planning Division, Information Planning Department, Corporate Planning Division",Information Technology Manager
"Corporate Planning Division, Corporate Planning Department (Information Systems) Assistant General Manager",Information Technology Manager
"General Manager, Corporate Planning Division",Planning Manager
"Corporate Planning Division, Expert",Business Planner
Corporate Planning Dept.,Business Planner
"DX Promotion Office, Corporate Planning Department",Information Technology Generalist
"Corporate Planning Department, IT Planning Division, IT",Information Technology Generalist
"MICROSOFT TECHNOLOGY CENTER, CORPORATE PLANNING DEPARTMENT",Information Technology Generalist
"Corporate Planning Department, System Management Office",Business Planner
"Chief, Corporate Planning Department",Planning Director
"Corporate Planning Department Leader, TCR",Planning Manager
"Senior Officer, Corporate Planning Department",Planning Manager
"President & CEO, Corporate Planning Department",Chief Executive Officer
"Corporate Planning Department, Company-wide System Promotion Section",Information Technology Generalist
"Corporate Planning Department, Sales Promotion Group Manager",Business Development Manager
"Manager, Information Systems Section, Corporate Planning Department",Information Technology Manager
"Corporate Planning Department, Strategy Group",Planning Manager
"Manager, Corporate Planning Department",Planning Manager
"General Manager, Corporate Planning Department",Planning Manager
General Manager of Corporate Planning Department,Planning Manager
"Corporate Planning Department, Corporate Planning Department, Information Systems Section",Information Technology Generalist
Faculty of Business Administration Others,Education Professional
Management and Executives,Executive
Executives,Administration Manager
"Infrastructure Team, ICT Strategy Department, Corporate Strategy Planning Division",Infrastructure Engineer
"General Manager, Corporate Strategy Office",Administration Manager
"Deputy General Manager, Corporate Strategy Division, General Manager of ONE-JRC Promotion Department, and Deputy General Manager, IT Promotion Department",Information Technology Manager
"System Planning Group, Corporate Promotion Headquarters, Section Manager Class",Information Technology Manager
Business Administration,Administrative Employee
Business Administration Manager,Administration Manager
Business Administration Dept.,Administrative Employee
"Team Leader, System Development Team, Business Administration Department",Information Technology Manager
"Team Leader, Business Administration Department",Administration Manager
Chief of Business Administration Department,Administration Manager
"Information Systems Section, Business Administration Department",Information Technology Administrator
"Manager, System Section, Business Administration Department",Information Technology Manager
"Senior Manager, Information Systems Section, Business Administration Department",Information Technology Manager
"Chief of the Information Systems Department, IT Infrastructure Group, Iwate Factory, Corporate Management Department",Chief Information Technology Officer
manager,Information Technology Manager
"Management (Chairman, President)",Chairperson
Executives and Executives Others,Executive
Executives and Executives Officer Class,Executive
Executives and Executives General Manager Class,Executive
Executives and Executives Executives,Executive
Executives and Executives General Manager Class,Executive
Design Engineer,Computer Aided Design Engineer
"Group Head, Design System Development Group",Information Technology Manager
Design Staff TCR,Computer Aided Designer
Design Engineer,Computer Aided Designer
Design & Development,Developer
"Deputy General Manager, Securities Systems Dept. 2",Information Technology Security Manager
