Lead ID,jobtitle,LS Title,LS Company,LS Lead Job Functions,LS Company Industry,LS Lead Department
166,"Owner, Chief Officer",Assistant Manager,Watahan & Co Ltd,,Financial Services,
167,"Manager, Operations",シニアプロダクトマネージャー,"Gree, Inc.",,Software & Internet,
168,Other,Assistant Professor,東京工業大学,Education,Diversified Consumer Services,
169,"Individual Contributor/Staff, Information Technology",Animation Supervisor / Digital Artist,"GrapeCity, Inc.",Digital Technology,Software & Internet,
170,"Owner, Chief Officer",Assistant Manager in Life Planning Department,"The Toa Reinsurance Company, Limited",Customer Communications; Customer Service; Accounting; Insurance; Pricing; Communications; Information Security; Risk Management; Culture; CRM,Financial Services,
171,"Director, Sales",Sales Consultant,"Bizreach, Inc.",Technology & Innovation; Network Management; Talent Management; Recruitment,Software & Internet,Sales
172,"Manager, Marketing/Sales",Sales Manager PSL Labelers,"Fuji Seal International, Inc.",Sales Management; Product Development; Software Development; Customer Success; Sales Operations; Account Management; Product; Manufacturing; Supply Chain Management; Supply Chain; Corporate Development; Pharmaceuticals,Transportation & Storage,Sales
173,Analyst,Policy Research and Analyst,,IT Policy; Research,,R&D
174,"Director, Sales",Director of Sales,Technoprobe,Business Strategy; Software Development; Electrical Engineering,Computers & Electronics,Sales
175,"VP, Purchasing",Vice President,Advantest,President,Computers & Electronics,Management
176,Associate Director,"Associate Director, Global Alliance",Accenture,Business Strategy; Hardware Development; Business Partnering; Customer Service; Systems Architecture & Development; IT Process Management; Records Management; Channel Sales; Product; Vendor Management; Data Center; Risk Management; Corporate Development; Recruitment; Financial Risk Management; Business & Technology Solutions; Software Development; Cloud Computing; Unified Communications; Pre Sales; Account Management; Senior Management; Partner; Business Intelligence; Integration Management; Customer Success; Direct Sales; SaaS; Communications; Succession Management; Development Lifecycle; Professional Services; Solutions Selling; Sales Process; Project Management; Call Centers; Startup; CRM,Business Services,
177,"Director, Information Technology Executive",President / Producer / Game Director,あまた株式会社,President; Gaming; Network Management; Content Marketing; Social Media; Interactive Marketing; Digital Marketing; Mobile; Creative Services; Design; Community Management; Software Development; Creative Direction; Content Management; Unity; Creative; Digital Media; News; Production; Journalism; Game Development; Startup; Creative Strategy,Software & Internet,Management
178,"Manager, Information Technology",Project Manager,Ryosan,Project Management; Business Strategy; Systems Management; Marketing Research; Sales Revenue; Strategy Development; Customer Success; Communication & Collaboration; Budget Management; Records Management; Market Development; Appeals; Research; Mobile; Investment Management; Corporate Development; Software Development; Investments; Account Management; Performance Management; General Manager; Revenue; Culture; Venture Capital,Manufacturing,Product Management
179,"Entry, Security",Security Project Manager,American Engineering Corporation (AEC Japan),Project Management; Security Management,Real Estate & Construction,Management
180,"Manager, Information Technology","General Manager, Global Marketing",Okamura,Global Marketing; General Manager,Manufacturing,Marketing
181,Technical Consultant,Technical Consultant,siemens ag,IT Consulting,Manufacturing,R&D
182,"Entry, Data Professional",Engineer,"MIXI, Inc",Engineering; Software Development; Rail; Network Management; Computer Programming,Software & Internet,R&D
183,一般,System Design Specialist,Sony,Design; Systems Management; Solutions Design,Media & Entertainment,Information Technology
184,"Owner, Operations/Project Management","Project Manager, Product Marketing Manager","Ricoh Company, Ltd.",Project Management; Product Marketing; Product,Computers & Electronics,Marketing
185,"Manager, Marketing","Manager, Marketing & Planning Group, Marketing & Planning Division","Kikkoman Biochemifa Co. (Diagnostic Enzymes Group, Sales Division-2)",,"Healthcare, Pharmaceuticals, & Biotech",Marketing
186,"Manager, Information Technology",Senior Project Manager,SATO Holdings Corporation,Project Management; Hardware Development; Systems Management; Retail; Integration Management; Accounting; Systems Integration; Healthcare; Manufacturing; IT Operations; Data Storage; Credit and Collections; Logistics,Manufacturing,Operations
187,Unknown　TCR,Digital Marketing Manager,Nuvoton Technology Corporation,Digital Technology; Digital Marketing; Product Design; Product; Strategic Marketing; Recruitment; Product Development; Engineering; Software Development; Project Management; News; Journalism; Product Engineering,Computers & Electronics,Marketing
188,"Individual Contributor/Staff, Marketing",Senior Manager,"Sumitomo Mitsui DS Asset Management Co., Ltd.",,Financial Services,
189,Doctor Systems Service Manager,DR Systems Service Manager,Konica Minolta,Systems Management; Customer Service; Systems Services; Disaster Recovery; Service Management; Technology & Innovation; Services Engineering; Field Services; Electronics Engineering; Communications; Communications Systems; Medicine; Engineering; Software Development; Biomedicine; Digital Technology; Imaging; Healthcare; Electrical Engineering,Computers & Electronics,Information Technology
190,"Owner, Chief Officer",Sales Manager,Sumitomo Electric,Sales Management,Manufacturing,Sales
191,"Director, Accounting and Finance",Foreign Attorney,Nishimura & Asahi,,Business Services,Legal
192,Finance Director - Puerto Rico,Finance Director - Puerto Rico,komatsu ltd.,Financial Management,Manufacturing,Finance
193,"Director, Operations/Project Management",Representative Director/Chairman/CEO at Santen,Santen Pharmaceutical,Senior Management; Chairman,"Healthcare, Pharmaceuticals, & Biotech",Management
194,Project General Manager,Project General Manager,DENSO,General Manager; Systems Management; Network Management; Accounting; Systems Architecture & Development; Civil Engineering; Development & Architecture; Cloud Infrastructure; Credit and Collections; Business Management; Audit; Engineering; Software Development; Cloud Computing; Infrastructure Management; Network Solutions; IT Management; Data Storage; Facilities Management,Manufacturing,Management
195,"Senior Vice President, Product Planning","Senior Vice President, Product Planning",Dongfeng Nissan Passenger Vehicle Co.,Product Development; President; Product Design; Product; Product Engineering,Manufacturing,Product Management
196,"Individual Contributor/Staff, Chief Officer",クラウドインフラエンジニア,cyberagent,Systems Management; Trading and Securities; Drug Regulation; Civil Engineering; Cloud Engineering; Development & Architecture; Cloud Infrastructure; Engineering; Software Development; Cloud Computing; Solutions Development; Infrastructure Management; Infrastructure Engineering; Web Management,Software & Internet,
197,"Owner, Chief Officer",Project Manager,"Software Research Associates, Inc.",Project Management; Application Development; Software Development; Mobile Applications; Mobile Device; IT Infrastructure,Software & Internet,Product Management
198,"Director, Infrastructure & Technology Management",Director of Display module technology lab.,Huawei,Technology & Innovation; Pharmacology; Design; Systems Management; Engineering; Software Development; Project Management; Network Management; Simulation Software; Research; Graphic Design; Electrical Engineering,Computers & Electronics,
199,"Manager, Operations/Project Management",Deputy General Manager,"tokyo gas co., ltd.",General Manager,Energy & Utilities,Management
200,"Individual Contributor/Staff, Information Technology",Senior Development Policy Planning Officer,Ministry of Foreign Affairs of Japan,Software Development; IT Policy,Government,
201,サポート,recomot Inc. - Sales Consultant,株式会社レコモット,,,Sales
202,企画,課長,Nitto Denko Corporation,,Manufacturing,
203,東北統括本部長,"General Manager, Tohoku General Headquarters",The Yomiuri Shimbun,General Manager; Publications; Public Relations; Network Management; Media Relations; Social Media; IT Policy; Communications; Strategic Communications; Online Journalism; Digital Marketing; Reporting; Creative Services; Content Management; Storytelling; Digital Media; News; Writing; Journalism,Media & Entertainment,Management
204,エンジニア,employee,Fujitsu,,Computers & Electronics,
205,担当部長,Manager,Hitachi,,Computers & Electronics,
206,職員,??????,Obayashi Corporation - Middle East Office,,Real Estate & Construction,
207,エンジニア,Manager,NTT DATA,,Business Services,
208,事業戦略・企画,Director,hitachi america,Business Strategy; Business Intelligence; Strategy Development; Project Management; IT Management,Computers & Electronics,
209,部長クラス,Commercial Aviation Industry Team,Mitsubishi,,Manufacturing,
210,マネージャー,"Leader/Senior Manager, Global Infrastructure, Information Systems",agc group,Systems Management; Infrastructure Management; Information Systems; Global Infrastructure; IT Infrastructure,Manufacturing,Information Technology
211,マネージャー,マネージャー,NTT DOCOMO,,Telecommunications,
212,担当部長,Manager,NTT West,,Telecommunications,
213,執行役員 製品開発運用本部長,"Corporate Officer, VP of Product development and Operations, CTO",i Cubed Systems,Product Development; Software Development; Dev Ops; Product; IT Management; Systems Management; LAN WAN; Network Management; Systems Architecture & Development; IT Process Management; Cloud Infrastructure; IT Infrastructure; Design; Business & Technology Solutions; Enterprise Mobility; Engineering; Cloud Computing; Brand Management; Infrastructure Management; Information Technology and Services; Enterprise Marketing Management; Web Development; Construction; Technology Infrastructure; Technology & Innovation; Product Design; Communication & Collaboration; Security Management; Reporting; Writing; IT Systems; Virtualization,Software & Internet,Product Management
214,課長,MIS,Nitto Americas,Information Systems; Information Systems Management; Customer Support; Network Management; Technical Support; IT Support; IT Management,Manufacturing,Information Technology
215,副部長,Director,（株）大和ネクスト銀行,,,
216,取締役 プロダクト開発・カスタマーサクセス部 部長,Chief Product Officer and Chief Customer Success Officer,株式会社エイトレッド,,Software & Services,Product Management
217,プロジェクトマネージャー,インフラエンジニア,株式会社DTS,,Software & Internet,
218,プロモーショングループ,営業支援部,Nitto Denko Corporation,,Manufacturing,
219,海外オペレーション,IT,fujitsu limited,,Computers & Electronics,Information Technology
220,従業員,従業員,Autodesk,,Software & Internet,
221,マネジメントＳＥシステム監査技術者,"Chief Manager, Engineering Process Group",CAC Corporation,engineering,Software & Internet,
222,一般職,Se,,,,
223,Business開発,Supply Chain Advisory,CBRE,Supply Chain Management; Supply Chain,Real Estate & Construction,Operations
224,主幹,Senior Cooridinator,Panasonic,,Computers & Electronics,
225,品質保証,Business Planning Manager,"hitachi, ltd.",Business Strategy; Art; Trading and Securities; Writing; Information Security; Cyber Crime; Security Management; Web Security; Security Systems,Computers & Electronics,Business Development
226,内部監査室,Internal Auditor,"Daikin Industries, Ltd.",Audit; Accounting,Real Estate & Construction,Finance
227,エンジニア,Owner,,Senior Management; Business Strategy; Acquisitions; Marketing Strategy; Strategy Development; Mergers and Acquisitions; Coaching; Mergers; Digital Marketing; Corporate Development; Corporate Finance; Finance Strategy; Software Development; Online Marketing; Financial Planning; Due Diligence; Startup,,Management
228,アシスタントマネージャー,Global Product Marketing,Nissan Motor Corporation,Product Marketing; Product,Manufacturing,Marketing
229,システムエンジニア,System Engineer,Mitsui knowledge Industry,Systems Management; Engineering; Software Development; Systems Architecture & Development,Computers & Electronics,Information Technology
230,執行役員,Workplace事業部 部長,Pksha Technology,,Software & Internet,Management
231,なし,Manager,Fujitsu,,Computers & Electronics,
232,総務（人材育成、IT）,"Vice President, R&D Planning and Management","Daiichi Sankyo Co., Ltd.",President; Biotechnology; Drug Research; Technology & Innovation; Drug Regulation; Lifesciences; Oncology; Biology; Pharmacology; Biochemistry; Research; Biomedical Informatics; Drug Discovery; Medicine; Chemistry; Software Development; Research Informatics; Immunology; Biomedicine; Clinical Research; Drug Development; Technology Transfer; Informatics; Pharmaceuticals,"Healthcare, Pharmaceuticals, & Biotech",R&D
233,なし,Customer Engineer,,Engineering; Software Development; Storage Infrastructure; Storage; Customer Experience; Network Management; UX/UI; User Experience,,R&D
234,一般社員,"Nikon - Recruiter, Talent Acquisition team",Nikon,Acquisitions; Talent Management; Recruitment,Computers & Electronics,Human Resources
235,マネジング・ディレクター,Managing Director,Accenture,Systems Management; Business Strategy; Business Intelligence; Business Process Management; Strategy Development; Integration Management; Data Management; Civil Engineering; IT Process Management; Development & Architecture; Data Integration; Business & Technology Solutions; Software Development; Cloud Computing; Project Management; Solutions Development; Pre Sales; Infrastructure Management; Business Continuity; Logistics,Business Services,Management
236,開発者,Owner,CNS (Computer Network Systems),Senior Management,Software & Internet,Management
237,部長,"Manager, Global Business Department.",,Engineering; Software Development; Sales Engineering; Project Management; Security Management; Culture; Security Systems,,
238,Assistant Chief Engineer(アシスタントチーフエンジニア),New Model - Engineering Project Leader,"honda motor co., ltd.",Engineering; Project Management; Product Development; Systems Management; Software Development; Network Management; Product Marketing; Product; Corporate Security; Manufacturing,Financial Services,R&D
239,研究職,Researcher,（株）豊田中央研究所,Research,,R&D
240,エンジニア,Technology Consultant,dxc,Technology & Innovation; IT Consulting,Software & Internet,Information Technology
241,執行役員,Executive Officer (COO of Rakuten Mobile / CCO of Rakuten Symphony),rakuten inc,Mobile; Operations Management; Acquisitions; Business Strategy; Marketing Strategy; Marketing Research; Financial Analysis; Mergers and Acquisitions; Technology & Innovation; Market Development; Mergers; Research; Marketing Analytics; Investment Management; Corporate Finance; Hedge Funds; Investments; Venture Capital,Retail,Operations
242,代表取締役社長,Presiden& CEO,Molten,Senior Management; Product Development,Software & Internet,Management
243,課長,Researcher,Ntt West,Research,Telecommunications,R&D
244,シニアプランナー,シニアプランナー,ADK (WPP Company),,Business Services,
245,営業,Sales Unit Manager,Hitachi,Business Strategy; Business Intelligence; Software Development; Technology & Innovation; Sales Management,Computers & Electronics,Sales
246,担当,Global Compensation & Benefit,Mitsubishi Motors Corporation,Compensations; Benefits; Software Development; Talent Management; Corporate Development,Manufacturing,Human Resources
247,データ戦略室 統括部長,データ戦略室 統括部長,EPark,President; Engineering; Chemistry; Business Partnering; Materials; Lifesciences; Environmental Engineering; General Manager; Pharmacology; Wastewater; Environmental Management,Business Services,
248,マネジャー,Manager,AGC,Chemistry; Lifesciences,Manufacturing,
249,マネージャー,Manager,Avanade,,Software & Internet,
250,代表取締役会長,本部長,ADK (WPP Company),,Business Services,
251,課長,Project Supervisor,"Konica Minolta, Inc.",,Computers & Electronics,Operations
252,マネジャー,プロジェクトマネージャー、チームリーダー,Sony Group Corporation,Digital Distribution; Digital Technology; Distribution; Quality Control,Telecommunications,
253,コンサルタント,Consultant,IBM,,Software & Services,
254,エンジニア,"Expert, Product Development Department",Fujitsu,Product Development; Software Development; Product,Software & Internet,Product Management
255,管理職(部長以上),Information Technology Innovation Division I,Mitsui,Technology & Innovation,Manufacturing,Information Technology
256,勤務,勤務,NTT DATA,,Business Services,
257,統括部長,Product Leader for CMOS Image Sensor,Sony,Imaging; Product,Media & Entertainment,Product Management
258,課長,IT Consultant,,IT Consulting; Systems Management; Integration Management; Systems Integration; IT Support; Cloud Infrastructure; Corporate Development; Software Development; Customer Support; Cloud Computing; News; Public Cloud; Journalism; Partner; Web Services,,Information Technology
259,一般職,Cloud Solutions Architect - AWS,NetApp,Cloud Computing; Solutions Development; Civil Engineering; Development & Architecture; Cloud Infrastructure; Cloud Solutions; Network Management; Disaster Management; Transportation; IT Infrastructure; Recruitment; Application Development; Engineering; Software Development; Investments; Education; Infrastructure Management; Infrastructure Engineering; Sales Development; Partner; Network Engineering; Technology & Innovation; Switching; 3PL; Solutions Selling; Storage; Taxes; Investigation; Quality Assurance; Logistics,Computers & Electronics,Information Technology
260,常務執行役員,Managing Officer (In charge of R&D / Corporate Alliance / IT),Juki,Product Development; Business Strategy; Engineering; Strategy Development; Software Development; Technology & Innovation; Project Management; Product; Corporate Development,Manufacturing,R&D
261,課長,Account Manager,SB C&S Corp.,Customer Success; Account Management,Software & Internet,Sales
262,課長補,Senior Manager,Isuzu Automotive Company,,Manufacturing,
263,保守設計,Senior Director of Design Center at Fujitsu,fujitsu limited,Design; Industrial Design; Business Strategy; User Experience Design; Product Design; Interface Design; User Interface; User Experience; Product; Quality Management; Interaction Design; Creative Services; Graphics; User Interface Design; Project Management; Creative; Customer Experience; UX/UI; Graphic Design,Computers & Electronics,
264,部品リマン推進本部,Seinor Manager Parts HANSEI Operation CEnter,komatsu ltd.,Business Strategy; Systems Management; Business Process Management; Strategy Development; Accounting; Materials; Production; IT Process Management; Process Improvement; Manufacturing; Business Continuity,Manufacturing,Operations
265,調達,"Sourcing Manager, Procurement",astellas,Procurement; Supply Chain Management; Supply Chain,"Healthcare, Pharmaceuticals, & Biotech",Operations
266,統括部長,General Manager,Sony,General Manager,Media & Entertainment,Management
267,ディレクター,Director of New Product Marketing,Asurion,Product Marketing; Product; Marketing Research; Software Development; Market Development; Channel Sales; Digital Marketing; Research; Corporate Development,Computers & Electronics,Product Management
268,センター長,Senior Management,RICOH Company Limited,Senior Management,Manufacturing,Business Development
269,コンサルティング,Associate Director,Gartner,Design; Workflow Management; Program Management; IT Consulting; Digital Technology; Insurance; Banking; Trading; Optimization; Corporate Development,Computers & Electronics,
270,人事総務部,Manager,Sojitz Corporation,,Business Services,
271,ブランド戦略、マーケティングコミュニケーション戦略,Director,FRONTAGE.INC,,Business Services,
272,プロジェクトマネジメント,Sales Specialist Software,Ntt Ltd.,Software Development; Customer Support; Cloud Computing; Technology & Innovation; Digital Technology; Web Infrastructure; Infrastructure Management; Global Infrastructure; Information Technology and Services; IT Support; IT Infrastructure,Software & Internet,Sales
273,財務,Director,Santen,,"Healthcare, Pharmaceuticals, & Biotech",
274,業務イノベーション推進室長,General Manager,ITOCHU,General Manager,Financial Services,Management
275,研究開発,Acting Manager,Mitsubishi Heavy Industries,Enterprise Mobility,Manufacturing,
276,その他,"General Manager, Products Planning Department",Panasonic,Product Development; Product Design; Product; General Manager; Product Engineering,Computers & Electronics,Management
277,シニアスペシャリスト,"Senior Software Architect, Product Manager, Technical Director",DENSO,Software Development; Software Engineering; Civil Engineering; Product; Development & Architecture; IT Management; Systems Management; The Board; Network Management; Solutions Design; Design; Product Development; Engineering; Project Management; Agile; Senior Management,Manufacturing,R&D
278,IT企画部,Project Manager,Tokio Marine,operations,Insurance,
279,開発,Production Engineering,Nikon,Engineering; Production; Production Management; Production Engineering,Computers & Electronics,Product Management
280,人工知能研究センター データプラットフォーム研究チーム チーム長,Researcher,産業技術総合研究所（産総研）,,Commercial & Professional Services,R&D
281,チーフ,従業員,Kikusui Chemical Industries,Software Development; Technology & Innovation; Materials; Civil Engineering; Performance Management; Technology Development; Development & Architecture; Recruitment,Retail,
282,執行役員部門長,執行役員,Td Synnex,,Computers & Electronics,Management
283,課長,Director,ソフトバンク(SoftBank),,Diversified Financials,
284,課長,データセンターアーキテクト,SoftBank,,Software & Internet,
285,営業,Inside Sales - Strategic Territory Sales Rep,autodesk inc,Territory Sales; Inside Sales; Wireless; LAN WAN; Accounting; Product; IT Solutions; Building Information Modeling; Development & Architecture; Cloud Infrastructure; Software Development; Cloud Computing; Account Management; Senior Management; Information Technology and Services; Construction; Customer Success; Civil Engineering; Data Management; Big Data; Renewals; Security Management; Credit and Collections; Storage; IT Management,"Travel, Recreation, and Leisure",Sales
286,システムエンジニア,Chif operation,"hitachi, ltd.",,Computers & Electronics,Operations
287,事務職,事務職,sojitz corporation,,Manufacturing,
288,Info Tech 主任 シニア・リサーチャー,Vice Chair of PoC Committee,Automotive Edge Computing Consortium (AECC),Vice Chairman; Chairman,Non-Profit,Management
289,会社員,System Engineer,"Kyndryl Holdings, Inc",Systems Management; Engineering; Software Development; Systems Architecture & Development,Business Services,Information Technology
290,事業部長・拠点長クラス,"Head of Marketing and Communications, Sales Management",CBRE Asia Pacific,Communications; Sales Management; Business Strategy; Marketing Strategy; Change Management; Business Intelligence; Strategy Development; Financial Services; Public Relations; Corporate Communications; Corporate Marketing; Information Security; Communication & Collaboration; Risk Management; Corporate Development; Direct Marketing; Software Development; Marketing Management; Insurance; Communications Networks; Internal Communications,Real Estate & Construction,Marketing
291,社員,従業員,JBCC Corporation,,Computers & Electronics,
292,上記以外,Principal,JAFCO,Principal,Financial Services,
293,課長,Manager Engineering,Macnica,Engineering,Computers & Electronics,R&D
294,主任技師,Manager,,Learning; Business Intelligence; Software Development; IT Consulting; Production; Statistics; Machine Learning,,
295,エンジニア,Engineer,TDK,Engineering; Software Development,Computers & Electronics,R&D
296,課長クラス,Manager of Corporate system plannning & development project,mitsubishi corporation,Systems Management; Business & Technology Solutions; Software Development,Manufacturing,Information Technology
297,部長代理,Financial Systems Business Div. 1,,,,
298,管理職(課長以下),Project Manager,Denso Wave Incorporated,Project Management,Computers & Electronics,Product Management
299,課長クラス,International Sales and Marketing Manager,Professional Audio - Yamaha Corporation of America,Network Management,Media & Entertainment,Sales
300,担当部長,"Assistant Manager, International Procurement Group I",Hitachi,Procurement; Supply Chain Management; Supply Chain,Computers & Electronics,Operations
301,一般社員,Sales,ITOCHU Techno-Solutions Corporation (CTC),,Software & Internet,Sales
302,なし,Researcher,FUJITSU FRONTECH,,Computers & Electronics,
303,事業部長・拠点長クラス,Manager,Shift Gmbh,,Business Services,
304,マネジャー,Senior Principal,Accenture,Principal; Systems Management; Integration Services; Integration Management; Cloud Computing; Technology Architecture; Technology & Innovation; Systems Integration; Civil Engineering; Development & Architecture; Cloud Infrastructure; IT Operations; Cloud Solutions,Business Services,
305,主任／係長クラス,Customer Representative,Vertex Software Pvt. Ltd.,,Computers & Electronics,
306,一般社員,Project Manager,Fast Retailing,Project Management,Retail,Product Management
307,執行役員 技術部長,Engineer,Nippon Light Metal,Engineering; Software Development,Manufacturing,R&D
308,一般社員,System Engineer,MISUMI Group,Systems Management; Engineering; Software Development; Systems Architecture & Development; Telecommunications; Gaming,Capital Goods,Information Technology
309,ソフトウェアエンジニア,Engineer,Renesas Electronics,Engineering; Software Development,Computers & Electronics,R&D
310,システムインテグレータ,staff,NTT DATA,,Software & Internet,
311,課長クラス,Head of Research Technology,Mizuho Securities Co.,,Diversified Financials,R&D
312,ビジネス報道ユニット部次長,Technology Editor,Nikkei,,Media & Entertainment,Operations
313,課長_Manager,"Clarino Division, Industrial Materials Section",Kuraray - EVAL,Materials,Manufacturing,
314,なし,Manager of Front End Engineering,IBM,engineering,Software & Services,
315,センター長代理,Copywriter/Creative Director,ADK (WPP Company),Creative Direction; Creative; Copywriting; Creative Services,Business Services,Marketing
316,ユニットリーダー,ユニットリーダー,RIKEN,Systems Management; Options; Visualization; Data Management; Big Data; Data Mining; Statistics; Machine Learning; Data Science; Learning; Quantitative Analysis; Forex; Software Development; Storage; Trading; Data Visualization,Business Services,
317,一般職,Support,Booklive,Customer Support; IT Support,Media & Entertainment,Information Technology
318,エンジニア,モバイルエンジニア,KDDI Corporation,,Telecommunications,
319,課長,無し,NSK Global,,Manufacturing,
320,事務,Chief sales engineer,NTT Comware,Engineering; Software Development; Sales Engineering,Software & Internet,Sales
321,コンサルタント,Senior Analyst,Accenture,,Software & Internet,
322,契約社員,IT,RIKEN,information_technology,Business Services,
323,室長,『出川哲朗の充電させてもらえませんか？』『有吉ぃぃeeeee！』『中居正広のただただ話すダーケ』『世界！ニッポン行きたい人応援団』『超シリトリアル』『最強重機王決定戦』『リアル脱出ゲーム密室美少女』企画&演出&プロデュース。国内最大級の全国高校生eスポーツ大会『STAGE:0』を立ち上げプロデュース。,TV Tokyo,,Media & Entertainment,
324,一般社員,Consultant,Toyo Business Engineering,,Consumer Services,
325,取締役CTO,取締役 CTO,株式会社サイダス,IT Management; Enterprise Architecture; Business Intelligence; Integration Management; Technology & Innovation; Data Management; Civil Engineering; Big Data; Data Warehouse; Development & Architecture; Data Integration; Engineering; Software Development; Storage; Solutions Development; Software Engineering; Performance Management; Data Modeling; Information Technology and Services; Logistics,Software & Internet,R&D
326,なし,Software Engineer,Sony Group,engineering,Media,R&D
327,担当課長,Manager,DENSO,,Manufacturing,
328,商品企画,Senior Business Planner Senior Business Planner,Sony,,Media & Entertainment,Business Development
329,コンサルティングシステムエンジニア,Consulting Systems Engineer Meru,Fortinet,Systems Management; Engineering; Software Development; Systems Architecture & Development,Software & Internet,Information Technology
330,執行役員 グローバルテクノロジー本部長,Vice President of Global Technology,"Macromill, Inc.",President; Technology & Innovation,Business Services,Information Technology
331,リリースマネジャー,Release Manager,Active Gaming Media,,Consumer Services,
332,グループマネジャー,Group Manager,Avanade,"Systems Management; Cloud Security; Cyber Security; Compliance; Information Security; Information Systems; Security Management; Risk Management; Governance, Risk and Compliance; Security Risk; Information Security Management; Cloud Computing; Product Security; Risk Compliance",Computers & Electronics,
333,エンジニア,System Consultant,RISO KAGAKU CORPORATION,Systems Management,Computers & Electronics,
334,その他,"Toyota Technical Development Corp, Senior Project Manager",TTDC トヨタテクニカルディベロップメント株式会社,operations,Automobiles & Components,
335,営業,サーバー管理,NTT,,Software & Internet,
336,技師長,Executive Engineer,"Daikin Industries, Ltd.",Engineering; Software Development,Manufacturing,R&D
337,専任部長,General Manager,"Jupiter Telecommunications Co., Ltd.",General Manager,Telecommunications,Management
338,経営者,"Leave A Nest Co, CIO",Leave a Nest,information_technology,Commercial & Professional Services,Information Technology
339,ソフトウェア開発,Musashino-Shi,,,,
340,本部長,"Manager, Commerce Service Industry Sales Dept.",Hitachi Solutions America,Commerce,Software & Internet,Sales
341,企画,Senior Manager,"hitachi, ltd.",,Computers & Electronics,
342,グループマネジャー,consultant,Avanade,Customer Service; Content Management; Journalism; Creative Services,Software & Internet,
343,コンサルタント,Analyst,Accenture,,Software & Internet,Finance
344,開発本部 技術開発推進部 チーフ,Security Engineer,Secom,Engineering; Software Development; Security Engineering; Security Management,Business Services,Information Technology
345,担当課長,Service Project Manager,NTT West,Project Management,Telecommunications,Product Management
346,株式会社JERA,Senior Manager of Power Trading Orchestration program/ ICT 課長,JERA Americas,Trading,Manufacturing,Information Technology
347,アーキテクト,Innovation Incubation Projects Lab Leader / IBM Garage CoE Leader,IBM,Pharmacology; Project Management; Network Management,Software & Internet,
348,一般社員,Codeless Automation Training Specialist,Accenture,Customer Success; Training and Development,Software & Internet,Sales
349,代表取締役会長,President and CEO,Comture Corp,President; Senior Management,Business Services,Management
350,工事管理,Construction Divislon,"Toyo Engineering Corporation, Japan",Construction,Real Estate & Construction,
351,主査,主査,"NTT DOCOMO, Inc.",,Telecommunications,
352,なし,なし,"MonotaRO Co., Ltd.",,Retail,
353,なし,Staff,Fujitsu,,Software & Internet,
354,なし,Supplier Quality Engineer,Nissan Motor Corporation,Engineering; Software Development; Supplier Management; Quality Assurance; Quality Engineering,Manufacturing,R&D
355,担当課長,acting chief of a section,ソフトバンク（SoftBank）,,Commercial & Professional Services,Management
356,担当,Product Planning Manager,Hitachi,Product Development; Product Design; Product; Product Engineering,Computers & Electronics,Product Management
357,次長,Manager,SBI Securities,,Financial Services,
358,システムエンジニア,Senior Engineer,Hitachi,Engineering; Software Development,Computers & Electronics,R&D
359,ITコンサルタント,Consulting Group Manager,Allied Telesis,,Computers & Electronics,
360,NW監視,"Senior Research Engineer, Supervisor / Group leader","NTT, OOO",Engineering; Software Development; Research,Wholesale & Distribution,R&D
361,ソフトウェア開発・保守,主管技師 (Chief Engineer),"hitachi, ltd.",Engineering; Software Development,Computers & Electronics,R&D
362,グループマネジャー,Data Engineer,リクルートダイレクトスカウト[Recruit Direct Scout]株式会社リクルート,Engineering; Software Development; Data Engineering; Systems Management; Network Engineering; ERP; Network Management; Systems Architecture & Development; Civil Engineering; Communications; Development & Architecture; Cloud Infrastructure; Solutions Selling; Cloud Computing; Web Services,Computers & Electronics,Information Technology
363,品質管理責任者,品質管理責任者,ASKUL CORPORATION,,Retail,
364,一般社員,DBA,"GMO Media, Inc.",Database Administration,Software & Internet,Information Technology
365,部長,Senior Principal Engineer,renesas electronics america inc.,Engineering; Software Development; Principal Engineering; Principal; Design; Systems Management; Quality Assurance; Debug; Solutions Design; Electrical Engineering,Computers & Electronics,R&D
366,課長,Manager,softbank corp.,,Financial Services,
367,センター長,"Vice President, Corporate Technology",toshiba corporation,"President; Business & Technology Solutions; Technology & Innovation; Systems Management; Development Management; Cyber Security; Social Media; Information Security; Product; Research; Machine Learning; Design; Software Development; Cloud Computing; Education; Digital Technology; Digital Media; Infrastructure Management; Manufacturing; Cloud Solutions; Dev Ops; Security Management; Mobile; Governance, Risk and Compliance; IT Strategy; Product Development; Medicine; Mobile Device",Computers & Electronics,Information Technology
368,マネジャー,グループ長（シニアマネージャー）,FUJIFILM Business Innovation Asia Pacific,Business Strategy; Strategy Development; Software Development; Technology & Innovation; Social Media; Network Management; Digital Marketing; Sales Management; SEO; Machine Learning; Advertising; Corporate Development,Software & Internet,
369,シニアファサードエンジニア,Facade Engineer,Arup,Engineering; Software Development; Design; Construction; Structural Engineering; UX/UI; CAD; Civil Engineering; Design Management; Architectural Design; Building Information Modeling; Research; Development & Architecture,Business Services,R&D
370,社長・役員,Global Business Development,Fujitsu,Software Development; Business Strategy; Strategy Development; Customer Service; Customer Relations; Project Management; Business Operations; Research; CRM,Computers & Electronics,Business Development
371,担当,担当,NTT West,Systems Management; Engineering; Systems Architecture & Development; Telecommunications,Telecommunications,
